id,snapshot_date,popularity,vote_average,vote_count
524047,2026-02-02,43.5565,7.125,4995
555457,2026-02-02,16.3096,6.2,89
698818,2026-02-02,14.5775,7.0,3
711978,2026-02-02,10.9181,4.429,7
577922,2026-02-02,10.4748,7.176,10784
587792,2026-02-02,10.2437,7.333,3524
508442,2026-02-02,10.1992,8.098,11148
38700,2026-02-02,10.1103,7.122,8607
635302,2026-02-02,10.0604,8.206,4378
596161,2026-02-02,9.7779,6.815,745
801489,2026-02-02,9.5053,6.0,1
464052,2026-02-02,9.4572,6.378,8907
1352415,2026-02-02,9.3345,0.0,0
454626,2026-02-02,9.2827,7.3,10227
715756,2026-02-02,9.2661,6.4,33
623305,2026-02-02,9.117,6.114,22
514287,2026-02-02,9.079,3.3,11
746476,2026-02-02,8.902,6.957,47
786026,2026-02-02,8.7888,6.0,1
689130,2026-02-02,8.7686,10.0,1
752975,2026-02-02,7.6084,7.0,4
669930,2026-02-02,10.258,0.0,0
429422,2026-02-02,7.864,5.023,421
624782,2026-02-02,8.1599,5.9,28
667143,2026-02-02,5.3592,5.0,2
495764,2026-02-02,7.9235,6.885,10666
679896,2026-02-02,8.4513,4.833,12
373858,2026-02-02,7.7282,4.8,14
1381967,2026-02-02,8.4079,9.0,1
824120,2026-02-02,7.7975,4.0,2
545609,2026-02-02,8.0584,7.299,6459
728103,2026-02-02,5.481,4.2,4
755401,2026-02-02,8.3923,6.3,15
707214,2026-02-02,6.9015,4.98,49
1154796,2026-02-02,8.078,0.0,0
594084,2026-02-02,5.5174,5.382,68
1306798,2026-02-02,7.4255,0.0,0
615677,2026-02-02,8.9816,5.972,797
807979,2026-02-02,9.5545,5.2,5
810233,2026-02-02,8.8427,0.0,0
524047,2026-02-02,43.5565,7.125,4995
555457,2026-02-02,16.3096,6.2,89
698818,2026-02-02,14.5775,7.0,3
711978,2026-02-02,10.9181,4.429,7
577922,2026-02-02,10.4748,7.176,10784
587792,2026-02-02,10.2437,7.333,3524
508442,2026-02-02,10.1992,8.098,11148
38700,2026-02-02,10.1103,7.122,8607
635302,2026-02-02,10.0604,8.206,4378
596161,2026-02-02,9.7779,6.815,745
801489,2026-02-02,9.5053,6.0,1
