id,snapshot_date,popularity,vote_average,vote_count
714202,2026-02-20,0.2393,4.3,6
608317,2026-02-20,0.4073,7.532,252
688258,2026-02-20,1.0213,6.19,272
656191,2026-02-20,0.3123,0.0,0
670702,2026-02-20,0.1592,10.0,1
700311,2026-02-20,0.0942,7.0,2
740903,2026-02-20,4.4809,5.981,105
1031198,2026-02-20,0.1313,0.0,0
733942,2026-02-20,0.2208,0.0,0
626882,2026-02-20,0.613,6.827,26
766020,2026-02-20,0.2197,4.0,2
721510,2026-02-20,0.1939,4.563,8
712931,2026-02-20,0.5408,0.0,0
737763,2026-02-20,0.3561,6.258,31
601297,2026-02-20,0.8256,5.463,107
710533,2026-02-20,0.0842,5.5,2
574830,2026-02-20,0.178,5.7,10
697641,2026-02-20,0.7282,5.5,2
546724,2026-02-20,1.4495,5.461,271
730780,2026-02-20,0.2119,7.7,3
669704,2026-02-20,0.0833,2.5,2
744122,2026-02-20,0.1028,0.0,0
448119,2026-02-20,7.8763,6.584,3822
744713,2026-02-20,0.2586,0.0,0
746939,2026-02-20,0.3049,5.2,10
754903,2026-02-20,0.205,9.3,3
737647,2026-02-20,0.3442,0.0,0
692380,2026-02-20,0.192,4.5,3
658562,2026-02-20,0.8644,5.0,6
894753,2026-02-20,1.3992,0.0,0
690890,2026-02-20,0.2667,3.0,2
678983,2026-02-20,0.5966,5.7,10
651391,2026-02-20,0.3704,6.186,35
697960,2026-02-20,0.6608,3.9,29
696267,2026-02-20,0.0453,0.0,0
1044753,2026-02-20,0.1444,0.0,0
624625,2026-02-20,0.2439,8.0,11
800121,2026-02-20,0.0812,4.0,2
621731,2026-02-20,0.2216,4.4,12
746984,2026-02-20,0.1498,0.0,0
748898,2026-02-20,0.427,6.4,11
716916,2026-02-20,0.5191,8.5,2
337401,2026-02-20,8.5031,6.837,6966
640196,2026-02-20,0.8574,5.733,15
567965,2026-02-20,3.9395,6.377,292
739556,2026-02-20,0.5947,7.6,14
1045258,2026-02-20,0.1172,2.75,4
572509,2026-02-20,0.3251,5.7,9
613614,2026-02-20,0.3771,6.665,82
650498,2026-02-20,2.6732,6.6,34
593325,2026-02-20,0.3458,4.3,3
733513,2026-02-20,0.2593,8.0,1
675490,2026-02-20,0.726,5.6,96
718501,2026-02-20,0.2792,6.0,11
719403,2026-02-20,0.1845,3.0,1
676346,2026-02-20,0.4381,6.7,3
767479,2026-02-20,0.2935,6.4,38
526007,2026-02-20,1.6356,6.199,879
741126,2026-02-20,1.7462,6.2,9
1059344,2026-02-20,0.091,0.0,0
702534,2026-02-20,0.2696,4.538,13
1306598,2026-02-20,0.1715,0.0,0
1259161,2026-02-20,0.1283,0.0,0
1100461,2026-02-20,0.0456,0.0,0
727764,2026-02-20,0.3843,4.0,2
863706,2026-02-20,0.1131,0.0,0
721644,2026-02-20,0.5151,5.8,5
998431,2026-02-20,0.0705,0.0,0
698929,2026-02-20,0.1063,7.2,5
746847,2026-02-20,0.0822,7.0,2
754409,2026-02-20,0.2026,9.8,4
741255,2026-02-20,0.0493,0.0,0
728457,2026-02-20,0.2063,6.0,1
737519,2026-02-20,1.0979,5.468,31
593402,2026-02-20,0.4986,6.111,1298
529203,2026-02-20,5.9925,7.452,4074
571265,2026-02-20,4.9194,8.1,255
686702,2026-02-20,0.0336,0.0,0
484297,2026-02-20,0.6491,6.8,65
717132,2026-02-20,0.6957,6.0,3
574396,2026-02-20,1.3848,6.255,155
549514,2026-02-20,2.4603,6.036,373
667141,2026-02-20,0.5249,5.523,241
1125284,2026-02-20,0.0327,0.0,0
526052,2026-02-20,0.4835,5.214,70
1433329,2026-02-20,0.0453,0.0,0
730415,2026-02-20,0.042,0.0,0
774579,2026-02-20,0.3459,6.143,7
752495,2026-02-20,0.1579,5.4,5
654959,2026-02-20,0.1622,4.3,9
1049940,2026-02-20,0.051,0.0,0
716273,2026-02-20,7.1209,0.0,0
765459,2026-02-20,0.1418,0.0,0
761613,2026-02-20,0.1994,0.0,0
732337,2026-02-20,0.1353,4.7,6
947350,2026-02-20,0.6746,7.0,2
674231,2026-02-20,0.1703,0.0,0
658558,2026-02-20,2.2296,4.346,26
679901,2026-02-20,0.5719,5.1,7
653598,2026-02-20,2.4638,6.4,525
675554,2026-02-20,0.1972,2.786,21
746971,2026-02-20,0.173,0.0,0
671502,2026-02-20,1.7819,0.0,0
736817,2026-02-20,0.3451,5.5,2
853713,2026-02-20,0.0928,0.0,0
1125278,2026-02-20,0.0684,0.0,0
608317,2026-02-20,0.4073,7.532,252
512393,2026-02-20,0.067,0.0,0
671042,2026-02-20,0.2373,7.3,3
796176,2026-02-20,0.0927,0.0,0
552116,2026-02-20,0.3529,4.0,4
728204,2026-02-20,0.6205,6.9,26
744940,2026-02-20,0.2891,5.717,23
616214,2026-02-20,0.2067,5.3,16
740264,2026-02-20,0.1194,6.0,4
667114,2026-02-20,0.4425,0.0,0
628917,2026-02-20,2.048,5.738,566
692973,2026-02-20,0.0214,0.0,0
1142502,2026-02-20,0.1204,1.0,1
710356,2026-02-20,5.9108,7.245,642
