id,snapshot_date,popularity,vote_average,vote_count
495764,2026-02-21,9.423,6.885,10689
711978,2026-02-21,10.3464,4.429,7
810233,2026-02-21,0.0357,0.0,0
545609,2026-02-21,8.139,7.297,6488
642666,2026-02-21,0.2099,6.2,8
454626,2026-02-21,11.3045,7.29,10252
701928,2026-02-21,0.1797,0.0,0
660717,2026-02-21,0.4773,4.3,36
589174,2026-02-21,1.3265,8.394,71
786026,2026-02-21,0.0922,6.0,1
524047,2026-02-21,23.1384,7.128,5084
746375,2026-02-21,1.0317,4.429,7
495764,2026-02-21,9.423,6.885,10689
762255,2026-02-21,0.1181,4.5,2
704803,2026-02-21,0.0786,0.0,0
373858,2026-02-21,0.1909,4.8,14
667143,2026-02-21,0.0862,5.0,2
986518,2026-02-21,0.2365,2.0,2
728103,2026-02-21,0.2945,4.2,4
679896,2026-02-21,0.2445,4.833,12
1381967,2026-02-21,0.8209,9.0,1
810233,2026-02-21,0.0357,0.0,0
707214,2026-02-21,0.259,4.98,49
711978,2026-02-21,10.3464,4.429,7
594669,2026-02-21,0.943,6.3,124
1244691,2026-02-21,0.0286,0.0,0
698818,2026-02-21,3.6944,7.0,3
667143,2026-02-21,0.0862,5.0,2
524047,2026-02-21,23.1384,7.128,5084
624782,2026-02-21,0.5524,5.9,28
577922,2026-02-21,10.2789,7.175,10855
1352415,2026-02-21,0.0368,0.0,0
728103,2026-02-21,0.2945,4.2,4
508442,2026-02-21,11.0426,8.097,11192
715756,2026-02-21,5.0978,6.368,34
698818,2026-02-21,3.6944,7.0,3
615677,2026-02-21,5.1273,5.958,800
1381967,2026-02-21,0.8209,9.0,1
746476,2026-02-21,0.3984,6.957,47
752975,2026-02-21,0.2495,7.0,4
1306798,2026-02-21,0.1544,0.0,0
514287,2026-02-21,0.278,3.3,11
621705,2026-02-21,0.2315,6.6,23
429422,2026-02-21,3.8284,5.02,424
740069,2026-02-21,0.0728,0.0,0
555457,2026-02-21,0.8173,6.2,89
801489,2026-02-21,0.0363,6.0,1
596161,2026-02-21,1.7916,6.815,746
557526,2026-02-21,0.5911,5.9,39
1306797,2026-02-21,0.1922,0.0,0
700173,2026-02-21,0.7515,7.484,31
38700,2026-02-21,8.1078,7.122,8628
677210,2026-02-21,0.4465,6.5,26
669930,2026-02-21,0.1632,0.0,0
555457,2026-02-21,0.8173,6.2,89
635302,2026-02-21,9.7546,8.204,4397
689130,2026-02-21,0.1592,10.0,1
749985,2026-02-21,0.1442,0.0,0
587792,2026-02-21,5.1185,7.331,3556
679896,2026-02-21,0.2445,4.833,12
587792,2026-02-21,5.1185,7.331,3556
624782,2026-02-21,0.5524,5.9,28
545609,2026-02-21,8.139,7.297,6488
786026,2026-02-21,0.0922,6.0,1
623305,2026-02-21,1.4951,6.114,22
801489,2026-02-21,0.0363,6.0,1
615677,2026-02-21,5.1273,5.958,800
464052,2026-02-21,9.54,6.374,8930
454626,2026-02-21,11.3045,7.29,10252
1154796,2026-02-21,0.2747,0.0,0
1352415,2026-02-21,0.0368,0.0,0
594084,2026-02-21,0.762,5.382,68
464052,2026-02-21,9.54,6.374,8930
696826,2026-02-21,0.1872,5.596,68
1306595,2026-02-21,0.247,0.0,0
755401,2026-02-21,0.5891,6.3,15
824120,2026-02-21,0.3556,4.0,2
685632,2026-02-21,0.4717,7.0,3
752975,2026-02-21,0.2495,7.0,4
765079,2026-02-21,0.2173,5.5,11
995615,2026-02-21,0.5283,0.0,0
746476,2026-02-21,0.3984,6.957,47
715756,2026-02-21,5.0978,6.368,34
