id,popularity,vote_average,vote_count
571265,4.9194,8.1,255
686702,0.0336,0.0,0
484297,0.6491,6.8,65
717132,0.6957,6.0,3
574396,1.3848,6.255,155
549514,2.4603,6.036,373
667141,0.5249,5.523,241
1125284,0.0327,0.0,0
526052,0.4835,5.214,70
1433329,0.0453,0.0,0
730415,0.042,0.0,0
774579,0.3459,6.143,7
752495,0.1579,5.4,5
654959,0.1622,4.3,9
1049940,0.051,0.0,0
716273,7.1209,0.0,0
765459,0.1418,0.0,0
761613,0.1994,0.0,0
732337,0.1353,4.7,6
947350,0.6746,7.0,2
674231,0.1703,0.0,0
658558,2.2296,4.346,26
679901,0.5719,5.1,7
653598,2.4638,6.4,525
675554,0.1972,2.786,21
746971,0.173,0.0,0
671502,1.7819,0.0,0
736817,0.3451,5.5,2
853713,0.0928,0.0,0
1125278,0.0684,0.0,0
608317,0.4073,7.532,252
512393,0.067,0.0,0
671042,0.2373,7.3,3
796176,0.0927,0.0,0
552116,0.3529,4.0,4
728204,0.6205,6.9,26
744940,0.2891,5.717,23
616214,0.2067,5.3,16
740264,0.1194,6.0,4
667114,0.4425,0.0,0
628917,2.048,5.738,566
692973,0.0214,0.0,0
1142502,0.1204,1.0,1
710356,5.9108,7.245,642
623238,0.4602,6.7,31
760484,1.6384,4.929,7
741011,0.7374,8.0,265
514847,7.5901,6.6,3533
659986,0.8675,5.617,433
1125280,0.0602,0.0,0
830749,0.1621,7.0,1
766419,0.0956,9.0,2
721582,0.4492,0.0,0
982064,0.0797,0.0,0
790227,0.1922,5.6,17
808805,0.2027,1.0,2
1065381,0.1251,5.0,1
1306593,0.1832,0.0,0
745567,1.902,0.0,0
719010,0.6172,6.0,6
741032,0.7042,6.268,41
752640,0.0859,4.0,3
745464,0.2011,0.0,0
528402,0.4587,5.6,31
935218,0.4702,10.0,1
659290,0.4979,6.668,184
732488,0.2333,7.0,8
738730,0.188,4.0,1
638423,0.3548,7.3,16
637272,0.2335,4.0,2
996248,0.0306,0.0,0
708726,0.0807,0.0,0
736485,0.8122,6.3,180
707886,2.1891,7.56,1157
690660,0.0718,0.0,0
739017,0.1421,5.5,1
729304,1.2971,6.2,5
572197,1.0645,6.9,31
661137,0.4291,5.2,39
759927,0.2475,1.0,2
740307,0.1562,0.0,0
1050276,0.2879,1.0,1
503335,0.1118,4.5,10
493550,0.4462,5.0,4
1270430,0.0965,0.0,0
520318,5.0551,7.2,192
779207,0.0766,7.0,1
1100464,0.0261,0.0,0
1154793,0.2364,0.0,0
713607,2.942,2.5,2
734725,0.1034,8.5,2
1193602,0.135,0.0,0
669117,0.1841,4.0,2
650765,0.2169,7.0,6
729286,0.1218,2.0,1
576917,0.5916,7.307,43
1100462,0.0379,0.0,0
514207,3.3319,6.859,872
662160,0.0491,0.0,0
728148,0.33,5.6,10
1225430,0.0281,0.0,0
693158,4.9788,6.57,359
744738,0.5299,4.594,53
705715,0.3554,3.7,67
734871,0.903,5.0,2
696616,0.3401,5.444,18
1100351,0.0389,0.0,0
717676,0.4182,6.4,22
569916,0.3357,8.0,1
544075,0.2625,5.879,95
748852,0.4016,7.1,5
589973,0.4084,5.2,14
672722,0.7333,0.0,0
760752,0.0542,0.0,0
400160,5.6834,7.4,2949
594174,0.3201,5.0,10
785743,0.1343,0.0,0
748899,0.189,6.6,12
1002896,0.1176,8.5,1
694741,0.6183,5.5,4
732310,0.4615,6.573,41
988748,0.0286,1.0,2
718030,0.1016,6.4,7
646593,4.6249,5.3,305
698599,0.0536,0.0,0
741347,0.1596,6.0,4
740842,0.0727,0.0,0
1100352,0.077,0.0,0
750596,0.4554,6.9,15
704440,2.3604,6.0,5
814084,0.0457,4.2,4
1018321,0.4545,0.0,0
736780,0.0143,0.0,0
830079,0.306,0.0,0
846979,0.1083,0.0,0
653754,1.4909,5.8,5
699709,0.0621,0.0,0
788936,0.0454,7.0,1
827873,0.6595,3.0,2
721948,0.2211,10.0,1
890513,0.4511,10.0,1
660982,3.6152,6.147,690
761765,0.0902,6.0,1
838279,0.1265,1.0,1
737503,0.1582,0.0,0
579828,2.192,5.9,348
779019,0.786,6.5,50
755977,0.2329,4.909,11
525798,0.3623,4.625,8
715123,2.8035,6.296,490
760179,0.3487,6.6,14
784910,0.0898,0.0,0
802242,0.0256,0.0,0
955470,0.0648,0.0,0
536725,1.0266,5.1,42
704669,0.0268,0.0,0
736052,0.0281,0.0,0
720042,1.6816,2.0,4
671474,0.2082,3.6,12
852316,0.4026,6.0,1
746056,0.613,6.6,42
632304,1.4701,5.406,134
646371,0.4409,5.8,11
1031365,0.1961,6.0,1
661397,0.2066,2.063,8
716676,0.2012,6.0,6
642208,4.3703,6.9,348
743055,0.6772,6.0,2
793680,0.0985,0.0,0
685964,0.4294,3.0,4
761563,1.6119,6.151,192
754736,0.1091,0.0,0
676156,0.6067,5.9,27
680880,0.4959,6.407,43
750758,0.5128,6.0,1
669228,0.0439,10.0,2
767080,0.3229,0.0,0
642380,0.15,3.654,13
756650,0.1084,5.0,3
755232,0.0143,0.0,0
698844,0.0453,0.0,0
782073,0.0387,0.0,0
750471,0.6176,5.962,13
863546,0.0844,0.0,0
884049,0.2186,0.0,0
517412,4.7431,5.815,363
1033751,0.0404,0.0,0
731240,0.2168,0.0,0
782086,0.2433,5.0,3
1170383,0.3084,8.4,5
660521,2.3079,5.983,30
344031,0.4794,7.09,83
664797,0.1589,4.0,1
662711,0.1608,5.4,5
585744,0.7342,6.7,131
796517,0.0628,0.0,0
667953,0.7,6.4,13
726739,1.7116,6.3,253
822642,0.0664,0.0,0
694119,0.0286,0.0,0
1214192,0.3953,0.0,0
836498,0.12,0.0,0
554433,0.117,5.6,7
686003,0.4503,4.308,39
744366,0.284,6.0,1
728096,0.3355,6.0,6
458793,0.3251,7.0,12
722771,0.0988,0.0,0
627518,0.2189,9.0,1
766146,0.1112,0.0,0
713836,0.2369,0.0,0
927562,0.1962,0.0,0
750598,0.117,6.0,3
757013,0.1326,6.4,5
754607,0.0784,2.0,3
666175,0.3283,5.8,20
516486,5.9179,7.4,3217
690935,0.1052,3.0,4
757320,0.1956,4.0,1
586695,2.1127,6.4,32
522444,1.937,5.181,464
806618,1.9048,0.0,0
741494,0.1479,5.0,1
834898,0.0873,0.0,0
763214,0.2933,0.0,0
666752,0.1435,6.0,1
825577,0.0389,0.0,0
718334,0.2711,6.4,6
570358,0.435,5.969,32
1060476,0.0655,0.0,0
959704,0.0877,0.0,0
619083,1.0214,7.25,12
765736,0.1788,7.333,3
682825,0.2973,3.5,26
650842,0.0561,4.0,1
671074,1.2517,4.5,2
671074,1.2517,4.5,2
669337,0.3721,6.0,15
781342,0.1647,0.0,0
765135,0.2358,6.5,2
678931,0.3451,9.0,4
728791,0.3404,5.0,41
758992,0.0886,7.0,2
721625,4.4507,6.2,774
702869,0.2407,7.9,8
614696,5.4887,7.215,1998
746800,0.0591,5.3,3
620924,0.827,4.6,133
508687,0.4428,4.2,11
1329272,0.1346,0.0,0
581526,3.17,6.895,223
749734,0.0629,6.4,5
724989,1.6754,4.952,656
