id,popularity,vote_average,vote_count
715756,4.2415,6.368,34
577922,9.3849,7.175,10856
1352415,0.0336,0.0,0
555457,0.8173,6.2,89
698818,3.6944,7.0,3
801489,0.0363,6.0,1
464052,8.4776,6.374,8931
711978,10.1074,4.429,7
514287,0.1924,3.3,11
508442,10.985,8.097,11192
623305,1.0496,6.114,22
454626,10.1532,7.29,10253
635302,9.3584,8.203,4398
524047,22.4102,7.128,5085
689130,0.1684,10.0,1
596161,1.7612,6.815,746
786026,0.1711,6.0,1
587792,5.1185,7.331,3556
746476,0.3984,6.957,47
38700,8.1078,7.122,8628
667143,0.0968,5.0,2
495764,8.0422,6.885,10689
669930,0.1159,0.0,0
679896,0.3077,4.833,12
624782,0.5032,5.9,28
429422,3.8284,5.02,424
373858,0.1909,4.8,14
707214,0.2367,4.98,49
752975,0.257,7.0,4
824120,0.2012,4.0,2
728103,0.2945,4.2,4
755401,0.5891,6.3,15
1381967,0.8209,9.0,1
1154796,0.2747,0.0,0
594084,0.5544,5.382,68
545609,7.0405,7.297,6488
1306798,0.1218,0.0,0
807979,3.4309,5.2,5
524047,22.4102,7.128,5085
698818,3.6944,7.0,3
615677,4.4804,5.958,800
711978,10.1074,4.429,7
577922,9.3849,7.175,10856
38700,8.1078,7.122,8628
555457,0.8173,6.2,89
635302,9.3584,8.203,4398
801489,0.0363,6.0,1
810233,0.1372,0.0,0
587792,5.1185,7.331,3556
596161,1.7612,6.815,746
623305,1.0496,6.114,22
508442,10.985,8.097,11192
514287,0.1924,3.3,11
786026,0.1711,6.0,1
454626,10.1532,7.29,10253
464052,8.4776,6.374,8931
715756,4.2415,6.368,34
624782,0.5032,5.9,28
667143,0.0968,5.0,2
689130,0.1684,10.0,1
669930,0.1159,0.0,0
679896,0.3077,4.833,12
752975,0.257,7.0,4
429422,3.8284,5.02,424
373858,0.1909,4.8,14
1381967,0.8209,9.0,1
545609,7.0405,7.297,6488
728103,0.2945,4.2,4
594084,0.5544,5.382,68
755401,0.5891,6.3,15
707214,0.2367,4.98,49
1154796,0.2747,0.0,0
1306798,0.1218,0.0,0
746476,0.3984,6.957,47
495764,8.0422,6.885,10689
615677,4.4804,5.958,800
810233,0.1372,0.0,0
807979,3.4309,5.2,5
621705,0.2315,6.6,23
704803,0.1118,0.0,0
642666,0.1568,6.2,8
746375,1.0404,4.429,7
685632,0.3547,7.0,3
696826,0.1872,5.596,68
765079,0.2173,5.5,11
995615,0.45,0.0,0
824120,0.2012,4.0,2
522627,6.14,7.668,6419
594669,0.7258,6.3,124
1244691,0.0286,0.0,0
677210,0.4446,6.5,26
749985,0.1294,0.0,0
700173,0.7323,7.484,31
557526,0.3531,5.9,39
1306797,0.1374,0.0,0
1306589,0.1731,0.0,0
1352415,0.0336,0.0,0
589174,1.5091,8.394,71
762255,0.1025,4.5,2
740069,0.0728,0.0,0
1306595,0.1909,0.0,0
986518,0.2368,2.0,2
568994,0.6175,6.9,77
628743,0.1601,5.7,9
712749,0.1513,6.786,14
401313,0.4506,5.125,32
507540,0.6845,5.4,24
737699,0.0363,0.0,0
566872,0.8847,5.668,188
781103,0.1299,4.0,3
701928,0.1797,0.0,0
660717,0.3286,4.3,36
497582,7.1324,7.235,6443
854482,0.0668,0.0,0
554761,0.6866,6.449,204
662320,0.295,6.0,9
787009,0.6469,5.5,100
637969,2.5659,5.226,82
675380,0.0784,6.0,1
770893,0.1956,7.0,3
716466,0.1698,0.0,0
733032,0.6772,7.0,64
606976,0.1327,0.0,0
793354,0.1217,10.0,1
716799,0.4267,5.2,5
676490,0.1863,6.7,3
686158,0.5616,5.8,11
805342,0.217,0.0,0
662286,0.3433,6.5,20
680747,0.1387,4.3,3
797556,0.3836,10.0,1
605133,0.5014,5.707,241
675253,0.264,5.9,69
755314,0.0505,0.0,0
691449,0.1575,6.0,3
733339,0.1109,9.0,1
737900,0.1022,3.0,3
524840,0.9993,4.641,92
990655,0.0748,0.0,0
441130,4.1651,8.194,1342
699046,0.3172,5.407,27
526120,0.4042,5.127,63
698800,0.2574,5.4,5
687649,0.2237,10.0,1
852418,0.4592,10.0,1
767374,0.2563,3.0,1
1047629,0.139,0.0,0
623666,1.4146,6.281,73
710717,0.9069,6.5,69
714202,0.3619,4.3,6
656191,0.2334,0.0,0
670702,0.1367,10.0,1
1031198,0.1139,0.0,0
688258,0.9207,6.19,272
626882,0.3401,6.827,26
608317,0.318,7.532,252
721510,0.1424,4.563,8
766020,0.199,4.0,2
700311,0.0687,7.0,2
737763,0.2912,6.258,31
740903,4.5962,5.981,105
712931,0.5587,0.0,0
574830,0.148,5.7,10
733942,0.3098,0.0,0
697641,0.4162,5.5,2
710533,0.0791,5.5,2
744122,0.1005,0.0,0
601297,0.8276,5.463,107
546724,0.9436,5.461,271
744713,0.162,0.0,0
669704,0.1099,2.5,2
448119,6.4205,6.584,3823
746939,0.2764,5.2,10
754903,0.2543,9.3,3
730780,0.2066,7.7,3
746730,0.2247,6.4,8
658562,0.6818,5.0,6
737647,0.3012,0.0,0
894753,1.1584,0.0,0
678983,0.361,5.7,10
690890,0.1938,3.0,2
1044753,0.1352,0.0,0
651391,0.2535,6.186,35
697960,0.4874,3.9,29
692380,0.1681,4.5,3
624625,0.2054,8.0,11
800121,0.0722,4.0,2
746984,0.1265,0.0,0
337401,6.3592,6.837,6966
640196,0.6669,5.733,15
748898,0.3835,6.4,11
621731,0.1829,4.4,12
567965,3.8519,6.377,292
1045258,0.1267,2.75,4
613614,0.2784,6.665,82
572509,0.2924,5.7,9
716916,0.4437,8.5,2
696267,0.0673,0.0,0
650498,2.4025,6.6,34
718501,0.2832,6.0,11
675490,0.5268,5.6,96
733513,0.1591,8.0,1
739556,0.4321,7.6,14
719403,0.1605,3.0,1
593325,0.3006,4.3,3
526007,1.3802,6.199,879
1259161,0.081,0.0,0
676346,0.5283,6.7,3
1306598,0.2337,0.0,0
1059344,0.0802,0.0,0
767479,0.2745,6.4,38
721644,0.5423,5.8,5
727764,0.3484,4.0,2
741126,1.5536,6.2,9
863706,0.0733,0.0,0
998431,0.0596,0.0,0
698929,0.1457,7.2,5
741255,0.0493,0.0,0
686702,0.0407,0.0,0
754409,0.1611,9.8,4
702534,0.2694,4.538,13
737519,0.8475,5.468,31
571265,4.834,8.1,255
529203,5.3919,7.451,4077
593402,0.5909,6.111,1298
774579,0.3008,6.143,7
526052,0.5094,5.214,70
667141,0.3833,5.523,241
1100461,0.0888,0.0,0
574396,0.8798,6.255,155
