id,popularity,vote_average,vote_count
699046,0.3657,5.407,27
711978,10.1074,4.429,7
746939,0.3646,5.2,10
660717,0.3286,4.3,36
737900,0.0845,3.0,3
401313,0.4506,5.125,32
514287,0.1923,3.3,11
623305,1.0735,6.114,22
995615,0.4655,0.0,0
990655,0.0748,0.0,0
712749,0.1513,6.786,14
495764,7.4729,6.885,10689
429422,4.0629,5.02,424
526120,0.4261,5.127,63
744713,0.1763,0.0,0
986518,0.2266,2.0,2
801489,0.0363,6.0,1
730780,0.2066,7.7,3
733339,0.1109,9.0,1
1306595,0.1645,0.0,0
522627,5.9468,7.668,6419
454626,10.1532,7.29,10254
675253,0.3224,5.9,69
744122,0.1005,0.0,0
594084,0.5544,5.382,68
704803,0.0804,0.0,0
755314,0.0468,0.0,0
807979,3.3357,5.2,5
546724,1.1974,5.458,271
698800,0.2574,5.4,5
697641,0.4098,5.5,2
698818,3.6944,7.0,3
642666,0.1684,6.2,8
615677,4.9182,5.958,800
1352415,0.0407,0.0,0
524840,1.0341,4.641,92
574830,0.1767,5.7,10
1306798,0.1218,0.0,0
710533,0.0791,5.5,2
691449,0.1575,6.0,3
685632,0.3455,7.0,3
38700,8.1078,7.122,8630
621705,0.2315,6.6,23
786026,0.1979,6.0,1
696826,0.1872,5.596,68
464052,8.4776,6.375,8933
680747,0.114,4.3,3
601297,0.8276,5.463,107
746375,1.3569,4.429,7
605133,0.4517,5.707,241
1244691,0.0286,0.0,0
737763,0.2912,6.258,31
524047,22.4616,7.1,5087
797556,0.3398,10.0,1
712931,0.5587,0.0,0
557526,0.3531,5.9,39
1306797,0.1267,0.0,0
701928,0.2134,0.0,0
686158,0.5616,5.8,11
810233,0.1259,0.0,0
1306589,0.2517,0.0,0
555457,0.7376,6.2,89
805342,0.2379,0.0,0
721510,0.1424,4.563,8
700173,0.7323,7.484,31
545609,7.2837,7.297,6489
752975,0.2452,7.0,4
793354,0.1217,10.0,1
626882,0.432,6.827,26
707214,0.3459,4.98,49
689130,0.1684,10.0,1
824120,0.3585,4.0,2
662286,0.3433,6.5,20
740903,4.5962,5.981,105
728103,0.2737,4.2,4
1381967,0.8513,9.0,1
676490,0.1706,6.7,3
733942,0.2334,0.0,0
740069,0.0728,0.0,0
596161,1.71,6.815,746
770893,0.1956,7.0,3
1031198,0.141,0.0,0
762255,0.1239,4.5,2
589174,1.3783,8.394,71
733032,0.6772,7.0,64
700311,0.0687,7.0,2
568994,0.6175,6.9,77
628743,0.1601,5.7,9
746476,0.3551,6.957,47
594669,0.647,6.3,124
606976,0.1327,0.0,0
766020,0.3122,4.0,2
716799,0.3532,5.2,5
688258,0.8783,6.19,272
679896,0.3077,4.833,12
675380,0.0784,6.0,1
670702,0.1367,10.0,1
749985,0.1294,0.0,0
624782,0.5032,5.9,28
677210,0.4446,6.5,26
662320,0.2416,6.0,9
656191,0.2334,0.0,0
787009,0.6469,5.5,100
714202,0.3619,4.3,6
373858,0.1909,4.8,14
508442,11.8046,8.097,11197
755401,0.5891,6.3,15
716466,0.1698,0.0,0
608317,0.318,7.532,252
587792,5.1185,7.331,3556
854482,0.0668,0.0,0
767374,0.2402,3.0,1
497582,8.3761,7.235,6445
746730,0.2247,6.4,8
577922,9.0714,7.175,10858
637969,2.3849,5.226,82
1047629,0.1253,0.0,0
715756,4.6698,6.368,34
781103,0.1299,4.0,3
710717,0.9069,6.5,69
765079,0.2173,5.5,11
669930,0.0981,0.0,0
554761,0.6866,6.449,204
687649,0.2237,10.0,1
1154796,0.2747,0.0,0
566872,0.8847,5.668,188
635302,9.3584,8.203,4398
852418,0.4592,10.0,1
667143,0.0968,5.0,2
737699,0.0434,0.0,0
737647,0.3012,0.0,0
623666,1.4146,6.281,73
507540,0.5006,5.4,24
441130,3.9045,8.194,1342
669704,0.0932,2.5,2
696267,0.0673,0.0,0
690890,0.1938,3.0,2
1044753,0.1839,0.0,0
